timestamp,open,high,low,close,volume
2019-09-23,209.55,209.55,209.55,209.55,0.01
2019-09-24,195.5,195.5,152.56,167.09,2224.36708
2019-09-25,166.84,174.15,163.18,170.0,181.60286
2019-09-26,169.95,170.77,153.07,166.69,545.4535
2019-09-27,166.34,175.54,161.44,173.69,630.91688
2019-09-28,174.14,175.05,168.43,172.84,158.67273
2019-09-29,173.92,173.92,165.02,169.46,1365.66487
2019-09-30,169.4,181.08,165.61,180.64,1462.69491
2019-10-01,180.43,185.59,173.45,175.66,1145.93635
2019-10-02,175.83,181.01,173.91,180.44,429.18857
2019-10-03,180.58,180.58,169.99,174.61,663.66412
2019-10-04,174.91,178.94,170.93,175.72,639.72813
2019-10-05,175.01,176.66,172.33,176.04,444.76459
2019-10-06,176.25,176.63,167.97,170.19,432.94126
2019-10-07,170.07,181.87,168.88,179.94,663.15443
2019-10-08,180.89,184.56,177.43,180.71,470.50028
2019-10-09,180.56,195.43,179.44,192.81,1125.24298
2019-10-10,192.82,194.18,187.03,191.12,643.14385
2019-10-11,191.58,196.42,179.64,180.58,2733.21683
2019-10-12,180.61,184.57,178.0,179.73,1852.2789
2019-10-13,179.32,184.37,178.55,181.05,2183.279
2019-10-14,180.8,187.47,180.49,186.73,2057.30732
2019-10-15,186.76,188.31,177.88,180.64,2603.38186
2019-10-16,180.48,181.15,172.29,174.56,2788.06167
2019-10-17,174.56,178.87,172.67,177.14,2420.30849
2019-10-18,177.3,177.37,168.64,172.79,2128.54381
2019-10-19,172.84,174.85,169.94,171.58,1777.62676
2019-10-20,171.86,176.39,169.38,175.15,1467.63899
2019-10-21,174.95,177.9,171.63,174.04,1628.36338
2019-10-22,173.9,174.94,170.28,171.28,2108.43858
2019-10-23,171.06,171.35,153.44,162.14,5100.69619
2019-10-24,162.32,163.05,158.8,160.33,6688.389
2019-10-25,160.29,187.37,160.29,181.37,3933.76907
2019-10-26,181.42,196.98,174.0,179.47,6012.15421
2019-10-27,179.57,188.52,176.24,183.88,5245.64149
2019-10-28,183.68,189.43,180.36,181.51,2860.96538
2019-10-29,181.65,192.72,181.34,190.52,2958.42192
2019-10-30,190.54,191.57,179.98,182.98,2489.72203
2019-10-31,183.27,185.2,177.79,182.43,2163.9368
2019-11-01,181.91,184.29,178.03,182.79,1018.5255
2019-11-02,183.15,185.49,181.76,182.86,384.27763
2019-11-03,183.0,184.59,179.08,181.35,311.23661
2019-11-04,181.68,188.43,180.42,185.8,430.41322
2019-11-05,185.71,191.77,183.0,188.7,717.54367
2019-11-06,188.58,194.14,187.9,191.26,542.3071
2019-11-07,190.91,191.92,185.05,186.9,447.92232
2019-11-08,186.76,188.18,181.72,183.61,863.1595
2019-11-09,183.62,185.63,182.75,184.87,295.34768
2019-11-10,184.7,191.32,183.47,189.1,942.54275
2019-11-11,189.12,190.03,184.19,184.83,594.11034
2019-11-12,184.48,187.39,182.8,186.89,755.24726
2019-11-13,187.06,189.52,185.34,187.89,501.02049
2019-11-14,188.54,188.56,183.38,184.88,759.95161
2019-11-15,184.92,186.69,177.97,180.09,894.75713
2019-11-16,179.99,183.41,179.28,182.36,301.17578
2019-11-17,182.48,185.81,180.22,183.75,746.57442
2019-11-18,183.68,183.93,175.09,178.27,896.14943
2019-11-19,178.08,178.48,173.0,175.98,667.46308
2019-11-20,175.96,177.41,173.5,174.67,385.37451
2019-11-21,174.44,175.72,157.29,160.95,1542.26599
2019-11-22,161.11,162.69,138.76,150.0,2095.77075
2019-11-23,149.85,154.18,146.21,151.7,408.04744
2019-11-24,152.5,152.57,138.76,140.13,419.34405
